Country,0_18,18_40,40_60,>60,Total,Ratio 0_18,Ratio 18_40,Ratio 40_60,Ratio >60
Belgium,2604189,2893920,3126043,2915174,11539326,0.225679472093951,0.250787610992184,0.270903430581647,0.252629486332217
Finland,1159093,1380161,1381350,1613189,5533793,0.209457238461937,0.249405968022295,0.249620829691317,0.291515963824451
France,15463684,15423331,17009399,17233315,65129729,0.237428962739888,0.236809383929726,0.261161826728927,0.264599826601459
Hong Kong,1073501,2124481,2364705,1936806,7499493,0.143143143143143,0.283283283283283,0.315315315315315,0.258258258258258
Luxembourg,131469,180539,182303,121419,615730,0.213517288421873,0.293211310152177,0.296076202231498,0.197195199194452
Netherlands,3775257,4381481,4740494,4509315,17406547,0.216887186183451,0.251714541660675,0.272339712178412,0.259058559977461
Peru,10714583,10492165,7376637,3927077,32510462,0.329573384715357,0.322731956254574,0.226900405168035,0.120794253862034
Poland,7496300,10713264,10050483,9627723,37887770,0.197855402944011,0.282763118547225,0.265269848291414,0.25411163021735
Russia,33357757,41052091,39433290,32029119,145872257,0.228677869843338,0.281424938807932,0.270327551043513,0.219569640305216
South Africa,21822220,20174226,11639860,4921961,58558267,0.372658227744342,0.344515420854241,0.198773983526528,0.08405236787489
United Kingdom,15634443,17834183,17763044,16298491,67530161,0.231517928707441,0.264092114336881,0.263038673934155,0.241351283021523
Vietnam,28867552,31863430,24295149,11435976,96462107,0.299263129303199,0.330320692663286,0.251862101664439,0.118554076369076
Zambia,9995380,5186638,2074569,604447,17861034,0.559619336708054,0.290388451194931,0.116150554329609,0.033841657767406
Zimbabwe,7768671,4325697,1880570,670534,14645472,0.530448660172919,0.29536070943975,0.128406240509012,0.045784389878319
Italy,10843908,13235969,18678333,17791882,60550092,0.179089868269729,0.218595357377822,0.308477367796568,0.293837406555881
Germany,15675339,20192100,23975086,23674520,83517045,0.18769029723214,0.241772203506482,0.287068178717291,0.283469320544088
